The shortest path is 159 steps:
(1, 0)
(1, 1)
(2, 1)
(3, 1)
(4, 1)
(5, 1)
(6, 1)
(7, 1)
(8, 1)
(9, 1)
(10, 1)
(11, 1)
(12, 1)
(13, 1)
(14, 1)
(15, 1)
(16, 1)
(17, 1)
(18, 1)
(18, 2)
(18, 3)
(18, 4)
(18, 5)
(18, 6)
(18, 7)
(18, 8)
(18, 9)
(18, 10)
(18, 11)
(18, 12)
(18, 13)
(18, 14)
(18, 15)
(18, 16)
(18, 17)
(18, 18)
(17, 18)
(16, 18)
(15, 18)
(14, 18)
(13, 18)
(12, 18)
(11, 18)
(10, 18)
(9, 18)
(8, 18)
(7, 18)
(6, 18)
(5, 18)
(4, 18)
(3, 18)
(2, 18)
(1, 18)
(1, 17)
(1, 16)
(2, 16)
(3, 16)
(4, 16)
(5, 16)
(6, 16)
(7, 16)
(8, 16)
(9, 16)
(10, 16)
(11, 16)
(12, 16)
(13, 16)
(14, 16)
(15, 16)
(16, 16)
(16, 15)
(16, 14)
(15, 14)
(14, 14)
(13, 14)
(12, 14)
(11, 14)
(10, 14)
(9, 14)
(8, 14)
(7, 14)
(6, 14)
(5, 14)
(4, 14)
(3, 14)
(2, 14)
(1, 14)
(1, 13)
(1, 12)
(2, 12)
(3, 12)
(4, 12)
(5, 12)
(6, 12)
(7, 12)
(8, 12)
(9, 12)
(10, 12)
(11, 12)
(12, 12)
(13, 12)
(14, 12)
(15, 12)
(16, 12)
(16, 11)
(16, 10)
(15, 10)
(14, 10)
(13, 10)
(12, 10)
(11, 10)
(10, 10)
(9, 10)
(8, 10)
(7, 10)
(6, 10)
(5, 10)
(4, 10)
(3, 10)
(2, 10)
(1, 10)
(1, 9)
(1, 8)
(2, 8)
(3, 8)
(4, 8)
(5, 8)
(6, 8)
(7, 8)
(8, 8)
(9, 8)
(10, 8)
(11, 8)
(12, 8)
(13, 8)
(14, 8)
(15, 8)
(16, 8)
(16, 7)
(16, 6)
(15, 6)
(14, 6)
(13, 6)
(12, 6)
(11, 6)
(10, 6)
(9, 6)
(8, 6)
(7, 6)
(6, 6)
(5, 6)
(4, 6)
(3, 6)
(2, 6)
(1, 6)
(1, 5)
(1, 4)
(1, 3)
(0, 3)
